Response ID,pid_ra,partner_ID,pid,sim_self,sim_other,dissim_self,dissim_other,social_desirability,age,sex,race,college_year
R_1i3DSnd0EAZp5pC,51120,52270,1,4,4,4,4,19,21,1,2,4
R_27ll6OEgIl8SuJo,52270,51120,2,4,4,4,5,17,21,2,3,4
R_1FKb8Jm6npZk2pA,61932,61792,3,6,6,4,4,19,20,2,2,3
R_3OlyU8YXo6pcrPi,61792,61932,4,5,5,5,5,21,21,3,8,3
R_pKwYWDbyHGEGS3L,66623,58653,5,4,4,6,3,17,19,2,2,2
R_zcfLiDatFrVjDXP,66584,66709,6,6,6,5,5,24,19,2,6,2
R_3Kwj0F79FVYKLLJ,66709,66584,7,4,4,3,3,20,19,1,4,2
R_Dc2RVSzhkdWJnwZ,52058,66773,8,6,6,6,5,22,22,2,6,4
R_R3vLo0K15OjI945,66773,52058,9,5,6,6,4,17,21,2,6,4
R_5tDsczXOeGKC7Tj,58653,66623,10,6,6,5,5,15,20,2,4,3
R_3q8TzBeVmMBjIdg,61934,59827,11,5,5,3,3,16,20,2,2,3
R_3Puw0rCWdZRGLVp,66604,58594,12,5,5,5,4,13,20,2,4,4
R_sjT60GrLyES1VKh,65208,66692,13,6,6,3,3,14,19,2,2,2
R_2EHnxj7qyQPI3gZ,58594,66604,14,4,4,4,4,20,20,2,3,3
R_2V3kLzWLabGj1Bl,51370,51114,15,6,5,4,4,15,21,2,4,4
R_2c1P0RA979qBuCo,52101,66622,16,4,4,4,4,24,21,2,2,4
R_0PY1CaHhGPrHs09,66622,52101,17,6,5,4,4,17,19,2,8,2
R_31yAhX83P4ETv9h,58657,63622,18,6,5,6,5,18,20,2,6,3
R_2A0wC9s1GdpV5TN,59827,61934,19,6,6,4,3,20,20,2,4,3
R_3fGXcILBnXpFkUa,51114,51370,20,5,5,4,4,22,22,2,3,4
R_1LveFkrcajlGWLQ,63649,66766,21,5,4,4,4,20,21,2,2,4
R_1eELlh1G27G6jyU,61931,66760,22,6,6,6,6,25,21,1,6,3
R_1dA0hmvQ9VZNfW7,66766,63649,23,4,3,5,5,21,19,2,6,2
R_3QJZYY6rjzZa67p,66692,65208,24,5,4,3,4,20,18,2,3,2
R_0TVRRxEjFbuowmt,66760,61931,25,4,5,3,3,19,19,1,9,2
R_1MLeNMGjmxdg5b3,63622,58657,26,7,5,7,4,21,20,2,6,3
R_1DM4m0FdldjwkPg,52252,65545,27,4,2,4,2,21,22,1,6,5
R_8iVYWZbVbcZO7m1,65532,55991,28,6,5,3,3,14,22,1,6,4
R_1cRLfBdOejlaxZb,51559,66599,29,4,4,4,4,19,22,2,2,4
R_2vff48wHoAu2ZjU,55991,65532,30,4,4,4,4,15,21,2,2,4
R_26m1NXcqpQvH3vA,61929,51065,31,7,7,7,7,22,21,1,6,3
R_3GwVz9svsLWlSQi,65508,65564,32,7,6,5,5,22,21,2,8,4
R_08jOuuGxDp5woQ9,66599,51559,33,4,5,4,3,17,20,2,6,3
R_1BQkzzppQCTWgF8,65545,52252,34,7,7,4,4,18,19,2,6,2
R_yz45AZMTq3Jakcp,51065,61929,35,5,4,5,4,15,23,2,2,4
R_2Bxpe59kdDuSSct,65564,65508,36,6,5,4,3,22,20,2,8,3
R_2azQnHMe6Bgnp1e,60140,52197,37,5,5,5,5,15,20,2,2,3
R_tVvuzfYY76ZEMh3,51437,52217,38,4,5,4,4,15,22,1,6,4
R_3KqCeUKa10OhHDI,52197,60140,39,5,4,5,3,19,21,2,6,4
R_3DkzjXsytxHEsjK,52217,51437,40,5,5,5,5,23,21,2,2,4
R_2uDHSJ7XPAbjBso,60108,65217,41,6,5,2,2,18,20,2,8,3
R_2CxDDipSvy7URwc,60110,65062,42,6,6,4,4,20,20,2,2,3
R_3M6kt6APCodAGwQ,60471,60157,43,1,2,1,2,18,20,2,6,3
R_6g1bH1Sz45IUBRD,65062,60110,44,4,4,5,5,20,20,2,8,2
R_29sKVbOtiR5dL2m,65068,65561,45,5,5,4,4,21,19,1,6,2
R_1cUGKSO8sLo85Mn,60279,61884,46,4,4,2,2,20,20,1,8,3
R_33fBoNkNbHbLRIa,60157,60471,47,6,5,3,3,16,20,2,3,3
R_2fJrhST0RIA6cjS,65561,65068,48,6,6,5,5,17,20,2,3,3
R_1IyqXWepdhUAGMB,65217,60108,49,6,5,6,4,18,19,2,6,2
R_3rGLkEhJKcZ1XOc,61884,60279,50,3,1,5,3,19,20,3,2,3
R_1DCNkc5ceYJOW9U,66610,48628,51,6,6,4,4,16,20,1,6,3
R_1ClPCTtjafoY1BC,48628,66610,52,7,5,6,4,20,22,2,3,4
R_RxiaoR4WI7YlX5n,60184,65236,53,3,3,4,4,17,20,2,3,3
R_PBgpdt5vdd0TPWN,59937,59821,54,7,7,5,6,18,20,2,2,3
R_3lQCxE5sTyjbhAg,51062,63667,55,5,6,5,5,19,21,2,6,4
R_1Ootg4e9Fz9bB3j,59821,59937,56,5,5,4,6,22,22,2,3,3
R_oXDhRDXGr6sZykV,61827,51250,57,5,4,5,4,23,20,2,6,3
R_d7gXjVqCQq6ZGmZ,51250,61827,58,6,6,3,3,17,19,1,2,2
R_3n0CXbGqkVjY2Yo,51250,66783,59,5,4,5,4,13,22,1,2,4
R_PzXIiUfHGOySPXH,65236,60184,60,5,4,6,3,18,19,1,6,2
R_3fVr2oi1FMcqJqM,66780,58418,61,6,6,4,4,19,20,2,6,3
R_1drYdOlnLUvie4F,58418,66780,62,6,6,4,4,20,20,2,2,3
R_1dB3LiM2M11II97,66783,51250,63,6,6,5,5,18,20,2,2,2
R_10YhNJ6dKTuIMbV,63667,51062,64,5,6,7,4,17,20,2,2,2
R_1Io2ZO1YZSbl2U2,57082,60082,65,4,4,4,4,15,22,2,2,4
