startdate,enddate,responseId,participant_id,check_choose_avatar,attention_check,exclude,condition,black_white,female_male,dissim_self,dissim_other,sim_self,sim_other,dissim_choice,sim_choice,dissim_similar,sim_similar,age,sex,race,feedback
9/27/21 9:26,9/27/21 9:31,R_yNITCtYHGeyPpWV,wm_65,5,7,3,w_m,white,male,4,4,4,4,1,1,4,4,52,1,5,
9/27/21 9:32,9/27/21 9:39,R_27QIWy7lyHQ9jHe,wm_66,5,6,3,w_m,white,male,6,6,6,5,1,1,5,5,72,1,5,very good
9/27/21 10:52,9/27/21 11:12,R_26b4C2TCIvOLbSa,wm_141,10,6,3,w_m,white,male,6,5,3,5,2,2,5,6,39,1,5,no
9/27/21 10:39,9/27/21 10:43,R_udI6suUiWkFDShz,wm_142,10,2,3,w_m,white,male,4,4,4,4,2,2,7,3,39,1,4,I'm quite boring
9/27/21 9:50,9/27/21 9:58,R_3scs4AYt8gUyhKt,wm_300,23,7,3,w_m,white,male,7,7,5,6,1,1,7,7,41,1,5,
9/27/21 9:11,9/27/21 9:16,R_0JpBhP06s8LooAF,wm_1,1,5,2,w_m,white,male,1,1,1,1,2,2,1,7,35,1,2,
9/27/21 9:20,9/27/21 9:24,R_2ckGE5nOzj8IIpm,wm_2,1,5,2,w_m,white,male,4,4,4,4,1,1,3,6,55,1,2,
9/21/21 12:35,9/21/21 12:57,R_3vC0b527WP3fTC9,wm_64,4,5,2,w_m,white,male,5,4,4,5,2,1,5,3,8,2,3,
9/27/21 8:52,9/27/21 8:55,R_2CdDJuEefQE08Py,wm_166,12,5,2,w_m,white,male,3,3,2,2,1,1,4,3,42,1,2,no
9/27/21 9:02,9/27/21 9:06,R_3JmjIW3FAXayCOO,wm_167,12,5,2,w_m,white,male,5,4,5,4,1,1,3,3,21,1,2,hello researchers!
9/27/21 9:18,9/27/21 9:29,R_2dQK25XNbP4sOGE,wm_227,15,5,2,w_m,white,male,6,6,5,6,1,1,6,5,43,1,2,No
9/20/21 8:09,9/20/21 8:14,R_yWMVLiE4Pmr6fvP,wm_231,16,5,2,w_m,white,male,4,4,4,4,1,1,4,4,42,2,5,
9/27/21 8:48,9/27/21 8:52,R_1EYikSVKyl0c05y,wm_238,17,5,2,w_m,white,male,5,5,5,5,1,1,3,5,48,1,2,Disappointed that I didn't get to chat with anyone
9/27/21 9:55,9/27/21 9:58,R_1IGYFBLc9PFDvvd,wm_278,22,5,2,w_m,white,male,1,1,1,1,2,2,1,1,22,1,2,
9/27/21 10:12,9/27/21 10:16,R_1i2wIJDv8FjYIzf,wm_279,22,5,2,w_m,white,male,3,4,3,3,2,2,2,2,21,1,2,
9/27/21 9:05,9/27/21 9:18,R_3n1n8UXm9d2IAF2,wm_61,2,5,1,w_m,white,male,7,6,7,6,1,1,5,5,43,1,5,nice study. thank you.
9/27/21 9:29,9/27/21 9:40,R_BGsEQyqGBcPqKzv,wm_62,2,5,1,w_m,white,male,6,6,7,6,1,1,7,7,43,1,5,good study overall.
9/27/21 9:15,9/27/21 9:29,R_1N4ww1HmzK5aNG9,wm_63,3,5,1,w_m,white,male,4,7,4,7,1,2,4,7,32,1,5,
9/27/21 8:21,9/27/21 8:25,R_3L1KanAMo3mdpro,wm_163,11,5,1,w_m,white,male,6,3,5,5,1,1,3,5,43,1,5,No
9/27/21 10:44,9/27/21 10:49,R_8dIGJAFFsRi8XAd,wm_164,11,5,1,w_m,white,male,5,7,7,5,1,1,3,5,34,1,5,Good survey
9/27/21 10:48,9/27/21 10:53,R_2di0wDf4Dll1Ttz,wm_165,11,5,1,w_m,white,male,6,5,6,5,1,1,2,6,49,1,5,no
9/27/21 7:51,9/27/21 8:01,R_25RegcTsUEvNleQ,wm_228,15,5,1,w_m,white,male,6,5,7,5,1,1,5,5,35,1,5,No.
9/27/21 9:06,9/27/21 9:10,R_2TSinC7CKOiN0Th,wm_229,15,5,1,w_m,white,male,7,7,7,7,1,1,7,4,34,1,5,none
9/27/21 10:29,9/27/21 10:33,R_80VYHye4oTssPHX,wm_230,15,5,1,w_m,white,male,6,7,6,5,1,1,6,5,47,1,5,Thank you.
9/27/21 8:46,9/27/21 8:50,R_2xKL5cluXxFCAhG,wm_276,21,5,1,w_m,white,male,7,4,7,3,1,1,5,2,26,1,5,"It was fun, thanks!"
9/27/21 10:27,9/27/21 10:33,R_2Yyrfosnm1yDXQo,wm_277,21,5,1,w_m,white,male,6,5,5,4,1,1,4,5,41,1,5,No
9/27/21 7:57,9/27/21 8:01,R_Qa0wU9UjuacKdln,wm_3,1,5,0,w_m,white,male,6,5,6,5,1,1,6,6,23,1,5,Interesting to see the outcome of this study 
9/27/21 8:01,9/27/21 8:09,R_3RmZtGI4mhu746i,wm_4,1,5,0,w_m,white,male,4,3,2,3,1,1,3,5,42,1,5,
9/27/21 8:09,9/27/21 8:13,R_3pg30YQ3kpDImxH,wm_5,1,5,0,w_m,white,male,5,5,5,4,1,1,5,5,32,1,5,
9/27/21 8:13,9/27/21 8:15,R_yUCbxc3jPR3oJ6V,wm_6,1,5,0,w_m,white,male,7,4,7,5,1,1,4,6,31,1,5,No
9/27/21 8:36,9/27/21 8:40,R_vIdx6ENflRyzSLf,wm_7,1,5,0,w_m,white,male,1,1,1,1,2,2,2,6,44,1,5,
9/27/21 8:37,9/27/21 8:43,R_1kMFFbvzH8fvVE4,wm_8,1,5,0,w_m,white,male,7,5,6,4,2,1,4,4,41,1,5,no
9/27/21 8:43,9/27/21 8:51,R_8CT1faM0M8oLvc5,wm_9,1,5,0,w_m,white,male,5,4,5,4,1,1,4,4,34,1,5,They survey tried to “trick” me into thinking that I was going to engage with actual participants but intuitively it was easy to figure out that it wasn’t the case.
9/27/21 8:47,9/27/21 8:52,R_Q6WsJcKKB7xNPMt,wm_10,1,5,0,w_m,white,male,5,4,5,4,1,1,3,4,27,1,5,Thank you for your consideration
9/27/21 8:50,9/27/21 8:56,R_1kXoKwIxSRusqhY,wm_11,1,5,0,w_m,white,male,7,7,7,7,1,1,4,4,39,1,5,No
9/27/21 8:54,9/27/21 8:57,R_x3YSClbZruouUet,wm_12,1,5,0,w_m,white,male,4,4,4,4,1,1,4,4,42,1,5,
9/27/21 8:47,9/27/21 8:59,R_1KlknWHZMSNdNul,wm_13,1,5,0,w_m,white,male,5,4,6,4,1,1,3,5,38,1,5,no comment
9/27/21 8:57,9/27/21 9:00,R_1hytGbPGXuAIDAf,wm_14,1,5,0,w_m,white,male,3,1,1,1,1,2,4,4,36,1,5,
9/27/21 9:05,9/27/21 9:09,R_1CeVFIKm8AkFvoB,wm_15,1,5,0,w_m,white,male,5,5,5,5,1,1,4,4,45,1,5,
9/27/21 9:06,9/27/21 9:10,R_3IXlpHpHs90qjuY,wm_16,1,5,0,w_m,white,male,4,4,4,4,1,1,3,5,44,1,5,
9/27/21 9:08,9/27/21 9:11,R_prsm3St8cxtC6MV,wm_17,1,5,0,w_m,white,male,1,1,1,1,2,2,1,7,29,1,5,
