StartDate,EndDate,Duration (in seconds),Finished,ResponseId,participant_id,Personalitytest_1,Personalitytest_2,Personalitytest_3,Personalitytest_4,Personalitytest_5,Personalitytest_6,Personalitytest_7,Personalitytest_8,Personalitytest_9,Personalitytest_10,TIPIQuestions_1,TIPIQuestions_2,TIPIQuestions_3,TIPIQuestions_4,TIPIQuestions_5,TIPIQuestions_6,TIPIQuestions_7,TIPIQuestions_8,sim_other1,sim_other2,sim_other,sim_self1,sim_self2,sim_self,dissim_self1,dissim_self2,dissim_self,dissim_other1,dissim_other2,dissim_other,sim_choice_sim_first,dissim_choice_sim_first,dissim_choice_dissim_first,sim_choice_dissim_first,sim_choice,dissim_choice,similar_same,similar_diff,age,sex,race,feedback,Sam_IB1,Sam_IB4,Alex_IB4,Sam_IB3
Start Date,End Date,Duration (in seconds),Finished,Response ID,participant_id,"From each pair, choose the word that describes you best. - Calm:Energetic","From each pair, choose the word that describes you best. - Traditional:Innovative","From each pair, choose the word that describes you best. - Shy:Outgoing","From each pair, choose the word that describes you best. - Factual:Imaginative","From each pair, choose the word that describes you best. - Agreeable:Critical","From each pair, choose the word that describes you best. - Disciplined:Carefree","From each pair, choose the word that describes you best. - Introspective:Talkative","From each pair, choose the word that describes you best. - Sensitive:Tough","From each pair, choose the word that describes you best. - Conventional:Creative","From each pair, choose the word that describes you best. - Responsible:Flexible",Answer each question honestly and to the best of your ability. - I often get so lost in thought I forget my surroundings.,Answer each question honestly and to the best of your ability. - I rarely do something just out of sheer curiosity.,Answer each question honestly and to the best of your ability. - I find it easy to stay relaxed even when there is some pressure.,Answer each question honestly and to the best of your ability. - I prefer to be alone.,"Answer each question honestly and to the best of your ability. - I often see possibilities, even when others can't.",Answer each question honestly and to the best of your ability. - I find it easy to make friends.,Answer each question honestly and to the best of your ability. - My actions are often influenced by my emotions.,Answer each question honestly and to the best of your ability. - I am almost always on time.,How much do you think [Field-Partner2] will like you?,How interested do you think [Field-Partner2] is in getting to know you?,,How much do you think you will like [Field-Partner2]?,How interested are you in getting to know [Field-Partner2]?,,How much do you think you will like [Field-Partner3]?,How interested are you in getting to know [Field-Partner3]?,,How much do you think [Field-Partner3] will like you?,How interested do you think [Field-Partner3] is in getting to know you?,,How much would you want to talk to [Field-Partner2]?,How much would you want to talk to  [Field-Partner3]?,How much would you want to talk to  [Field-Partner3]?,How much would you want to talk to [Field-Partner2]?,,,How similar do you feel to [Field-Partner2]?,How similar do you feel to [Field-Partner3]?,What is your age?,What is your sex?,What is your race/ethnicity,Is there anything you'd like to share with us?,Sam_IB1,Sam_IB4,Alex_IB4,Sam_IB3
3/1/23 8:23,3/1/23 8:30,474,1,R_ZyOk4yHpKXY40OB,1,4,4,4,4,2,4,4,3,4,2,5,3,5,5,6,6,5,6,6,6,6,6,5,5.5,5,4,4.5,5,5,5,,,6,6,6,6,6,4,37,2,5,,A rabbit,Kissing animals,Poodles,I don't see any of those things
3/1/23 8:27,3/1/23 8:32,309,1,R_3jW02WEZDx5vQxm,2,2,4,4,1,2,2,4,3,2,2,4,3,6,3,5,5,5,6,5,6,5.5,5,6,5.5,4,4,4,4,4,4,6,4,,,6,4,6,4,35,1,5,,A rabbit,An old woman,A mustache,A wolf
3/1/23 8:29,3/1/23 8:36,409,1,R_3Mor9w9HaztQYjY,3,2,3,2,2,2,4,2,4,2,4,6,3,5,6,6,5,2,1,5,5,5,4,5,4.5,5,5,5,3,3,3,,,6,6,6,6,4,4,19,2,6,,An X-Ray,Poodles,An old woman,Fire
3/1/23 8:33,3/1/23 8:41,491,1,R_yX7a16eB7f4QeGt,4,1,3,1,2,5,2,1,3,4,1,2,3,6,6,6,2,3,2,6,5,5.5,6,5,5.5,4,5,4.5,4,4,4,6,5,,,6,5,6,4,34,1,6,,A pelvis,An old woman,Kissing animals,Fire
3/1/23 8:40,3/1/23 8:47,380,1,R_2dGa6ZmeSmdsKgB,5,2,3,1,3,2,2,1,1,3,2,5,3,1,7,5,2,5,6,3,3,3,4,4,4,3,3,3,4,3,3.5,,,2,3,3,2,3,2,65,2,5,,A rabbit,A mustache,Kissing animals,Fire
3/1/23 8:45,3/1/23 8:50,322,1,R_2EcSn6QFsME2z0i,6,1,4,2,4,2,5,1,1,4,3,5,2,4,4,6,2,7,6,6,5,5.5,7,7,7,3,3,3,4,2,3,6,4,,,6,4,6,1,23,2,2,n/a,An X-Ray,I don't see any of those things,A mustache,I don't see any of those things
3/1/23 8:51,3/1/23 8:58,417,1,R_1qapfmv0wggGmgX,7,1,1,1,3,4,1,1,3,4,2,2,5,2,7,7,2,5,7,7,6,6.5,6,6,6,4,4,4,4,3,3.5,,,4,6,6,4,7,2,30,2,1,,A pelvis,Poodles,An old woman,A mask
3/1/23 8:52,3/1/23 8:56,225,1,R_2To4Pv5GkkJviMB,8,2,2,2,2,4,2,2,3,4,3,3,5,5,6,4,3,6,5,5,4,4.5,5,4,4.5,4,2,3,4,4,4,4,4,,,4,4,6,3,39,1,5,,A pelvis,Kissing animals,I don't see any of those things,I don't see any of those things
3/1/23 8:52,3/1/23 9:00,450,1,R_1mwHYWE76qWNYta,9,3,3,1,1,1,1,3,3,3,3,2,4,5,7,4,3,2,6,4,4,4,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,4,47,2,1,,A rabbit,Kissing animals,I don't see any of those things,I don't see any of those things
