identifier,ip,start,stop,pid,sim_self_overall,sim_other_overall,dissim_self_overall,dissim_other_overall,sim_self_careerstage,sim_self_position,sim_self_division,sim_self_industry,sim_self_sociocultural,sim_other_careerstage,sim_other_position,sim_other_division,sim_other_industry,sim_other_sociocultural,dissim_self_careerstage,dissim_self_position,dissim_self_division,dissim_self_industry,dissim_self_sociocultural,dissim_other_careerstage,dissim_other_position,dissim_other_division,dissim_other_industry,dissim_other_sociocultural,expectation_similar,likely_convo,age,sex,country,usa_race,white,black_afam,am_ind_native,asian,pac_is,other,race_6_text,hisp_lat,background,mom,dad,language,language_text,proficiency,survey_trouble,employment,job_level,job level_TEXT,joblevel_split
R_2RamBmBGWaagXlY,62.245.183.149,12/7/20 9:00,12/7/20 9:05,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,50,1,65,,,,,,,,,,65,65,65,2,,4,1,1,4,,2
R_Un05GDns9GAhHNL,185.39.104.66,12/7/20 7:47,12/7/20 8:02,2,6,6,6,5,7,6,7,7,7,6,5,7,6,6,2,6,6,6,7,4,5,6,5,6,5,8,58,1,65,,,,,,,,,,65,65,65,2,,5,2,1,3,,1
R_2ckJjxMmOcCpKff,193.197.148.126,12/11/20 2:22,12/11/20 2:36,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,33,1,65,,,,,,,,,,65,65,22,2,,7,1,1,4,,2
R_W8zfh6O0MnP855n,176.194.118.169,12/8/20 0:28,12/8/20 0:53,4,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,8,29,2,143,,,,,,,,,,143,143,143,6,russian,5,1,1,5,,2
R_sdQdmzghs5YboUV,31.10.156.217,12/8/20 2:35,12/8/20 2:40,5,7,5,7,5,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,6,6,6,6,6,5,11,46,1,169,,,,,,,,,,169,169,84,6,German,5,2,1,4,,2
R_RLHQs6P0w2g3QB3,86.165.136.112,12/7/20 6:39,12/7/20 6:45,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,39,2,185,,,,,,,,,,185,185,185,1,,7,1,1,5,,2
R_3iRpqwuSM8IzJTX,148.168.40.124,12/8/20 5:40,12/8/20 5:43,7,6,6,6,5,6,5,6,5,6,5,5,5,6,6,5,5,6,5,6,5,6,6,6,6,4,8,45,2,187,,,,,,,,,,187,,,1,,7,1,1,4,,2
R_1j7h07B5m1DZaWa,195.244.239.72,12/11/20 3:38,12/11/20 3:46,8,7,6,7,6,3,3,3,5,5,5,5,3,4,4,5,5,6,6,6,4,4,5,6,6,3,10,45,1,65,,,,,,,,,,65,65,65,2,,5,1,1,4,,2
R_3CJXnmbeSAdBDeU,91.192.15.69,12/8/20 0:42,12/8/20 0:47,9,6,6,6,6,6,5,4,4,5,4,4,4,5,5,6,5,4,5,5,5,4,4,5,4,3,11,39,1,65,,,,,,,,,,65,65,65,2,,6,1,1,3,,1
R_t0eKOkwOgItPIJz,193.197.148.126,12/11/20 2:58,12/11/20 3:02,10,3,3,5,5,5,4,5,5,4,4,4,4,4,4,3,4,6,6,6,4,4,4,4,4,6,11,50,2,65,,,,,,,,,,65,65,65,2,,6,1,1,4,,2
R_3RsGJ9fjARG8LAZ,165.225.194.105,12/7/20 6:48,12/7/20 7:02,11,5,5,5,5,6,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,6,36,1,65,,,,,,,,,,2,12,20,2,,5,1,1,3,,1
R_2Yup3ltOBhzc11q,91.192.15.78,12/9/20 0:24,12/9/20 1:21,12,5,4,6,4,4,4,6,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,9,41,1,60,,,,,,,,,,60,60,60,6,Finnish,6,1,1,4,,2
R_Dw1De8i60TKcD97,192.36.28.75,12/7/20 8:54,12/7/20 8:57,13,5,5,5,5,5,4,5,4,3,6,6,5,5,6,4,5,5,5,5,3,5,5,5,4,4,6,30,1,168,,,,,,,,,,78,78,78,6,Tamil,5,1,1,4,,2
R_3q8McGvHEvrwihX,148.168.96.26,12/7/20 7:06,12/7/20 7:11,14,7,6,7,6,7,7,7,6,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,4,9,47,1,187,1,1,,,,,,,,187,,,1,,7,1,1,3,,1
R_73QKbmIKLIkMtwZ,31.150.250.44,12/7/20 8:38,12/7/20 8:44,15,6,5,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,9,52,1,65,,,,,,,,,,65,65,65,2,,4,1,1,3,,1
